Designator,Mid X,Mid Y,Rotation,Layer
_48,66.52,-97.33,0.0,top
_47,66.52,-77.33,0.0,top
_46,65.219997,-97.33,0.0,top
_45,66.52,-74.69,0.0,top
_44,66.52,-94.69,0.0,top
_43,65.219997,-107.33,0.0,top
_42,66.52,-96.01,0.0,top
_41,65.22,-88.41,0.0,top
_40,65.219995,-84.69,0.0,top
_39,69.95,-169.97,0.0,top
_38,63.92,-96.01,0.0,top
_37,66.52,-104.69,0.0,top
_36,63.92,-97.33,0.0,top
_35,65.219995,-74.69,0.0,top
_34,66.52,-76.01,0.0,top
_33,65.219997,-93.61,0.0,top
_32,69.96,-149.98,0.0,top
_31,63.92,-84.69,0.0,top
_30,63.92,-106.01,0.0,top
_29,65.219997,-83.61,0.0,top
_28,100.06,-189.98,0.0,top
_27,65.219997,-96.01,0.0,top
_26,65.219995,-104.69,0.0,top
_25,65.219997,-106.01,0.0,top
_24,63.92,-86.01,0.0,top
_23,66.52,-84.69,0.0,top
_22,63.92,-107.33,0.0,top
_21,63.92,-77.33,0.0,top
_20,66.52,-107.33,0.0,top
_19,66.52,-86.01,0.0,top
_18,63.92,-94.69,0.0,top
_17,66.52,-87.33,0.0,top
_16,65.219997,-87.33,0.0,top
_15,65.219995,-94.69,0.0,top
_14,69.95,-189.98,0.0,top
_13,65.22,-108.41,0.0,top
_12,65.219997,-76.01,0.0,top
_11,63.92,-87.33,0.0,top
_10,63.92,-104.69,0.0,top
_9,65.219997,-73.61,0.0,top
_8,66.52,-106.01,0.0,top
_7,65.219997,-86.01,0.0,top
_6,65.22,-98.41,0.0,top
_5,63.92,-74.69,0.0,top
_4,65.219997,-77.33,0.0,top
_3,63.92,-76.01,0.0,top
_2,65.219997,-103.61,0.0,top
,65.22,-78.41,0.0,top
C1,70.15,-64.2,270.0,top
C10,77.216,-60.77,0.0,top
C100,64.95,-137.45,90.0,bottom
C101,72.77,-141.74,270.0,bottom
C102,74.77,-141.74,270.0,bottom
C103,76.77,-141.74,270.0,bottom
C104,78.77,-142.74,270.0,bottom
